siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;a garder vide;montant fin client
343262457;645;01/01/2014;6 081.66;63;1;350.00;0;1.00;0.00;TRIMESTRE;NON;OUI;0;V1494800500-5106;18;0;LARTILLEY;bnp;V0203938;;6437.54
217005198;2455;22/04/2014;3 955.00;63;1;235.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E204R360338;19;0;MAIRIE DE VANDELANS;bnp;W0070690;;4247.77
352860639;2681;01/05/2014;3 786.72;60;1;77.85;0;1.00;0.00;MOIS;NON;OUI;0;LHD4108510;18;0;THEVENIN DUCROT DISTRIBUTION;bnp;W0076850;;4109.11
381493923;2605;01/07/2014;1 251.47;60;1;78.70;0;1.00;0.00;TRIMESTRE;NON;NON;0;AGK3100560;19;0;MECANIQUE BAUMOISE DE PRECISION;bnp;W0080946;;1391.34
197000292;2606;24/04/2014;17 189.43;63;1;970.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LQ4102805;19;0;COLLEGE JULES JEANNENEY;bnp;W0086655;;17530.88
197000292;2705;06/05/2014;2 865.00;66;1;164.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;QLD2Y22960;19;0;COLLEGE JULES JEANNENEY;bnp;W0089605;;3086.05
212501019;2883;30/05/2014;2 608.78;63;1;155.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;V1403902272;19;0;MAIRIE DE BURGILLE;bnp;W0090134;;2807.93
480100411;3397;01/10/2014;5 941.62;63;1;342.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E154M432572;19;0;FREDERIC JAMEY;bnp;W0124797;;6319.38
775571250;3570;01/10/2014;39 687.86;60;1;2288.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E204R661163;19;0;ASS PATRONALE MEDECINE TRAVAIL;bnp;W0136950;;40517.17
349578989;3783;01/10/2014;5 472.55;63;1;315.00;0;1.00;0.00;TRIMESTRE;NON;NON;21.28;LCA4705953;19;0;IONITEC;bnp;W0159245;;5862.91
212501373;3869;01/10/2014;2 604.15;66;1;147.00;0;1.01;0.00;TRIMESTRE;NON;NON;0;V1494001193;19;0;COMMUNE DE CHAUDEFONTAINE;bnp;W0183630;;2794.04
182500124;5042;31/01/2015;15 152.76;66;1;799.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4X22407/22403;19;0;CROUS BESANCON;bnp;W0208408;;15258.81
444496681;5271;01/01/2015;8 280.85;63;1;157.00;0;1.00;0.00;MOIS;NON;NON;0;E154MA30480;19;0;CRPA GROUPE;bnp;W0218136;;8773.49
817425036;5939;01/04/2015;3 852.24;63;1;222.00;0;1.00;0.00;TRIMESTRE;NON;NON;16.02;LHD4Y23855;19;0;SELARL NATHALIE ROTA;bnp;X0012857;;4204.62
509667986;6895;01/07/2015;12 513.59;63;1;695.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E165M130508;19;0;OMEGA CONSEIL;bnp;X0052502;;13161.22
319394565;8096;01/07/2015;7 765.16;63;1;435.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD5534895;19;0;DISTRICT FOOTBALL DOUBS SUD HAUT DOUBS;bnp;X0098314;;8237.94
410942486;9855;01/01/2016;4 369.89;66;1;242.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LCA5815560;19;0;CARISEY FABIENNE;bnp;X0167689;;4777.24
478738602;12159;01/04/2016;2 113.35;63;1;125.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LSA5Y25090;19;0;CARROSSERIE POIGNAND-DOLE;bnp;Y0029455;;2376.21
340903327;12828;01/07/2016;4 310.88;63;1;248.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD6252265;19;0;CTRE INFORMATIQUE BUREAUTIQUE SCE TECH;bnp;Y0055273;;4713.52
217004316;14411;11/08/2016;4 459.68;63;1;255.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD6252259;19;0;COMMUNE DE QUENOCHE;bnp;Y0119481;;4774.24
388869570;14535;01/10/2016;1 420.20;63;1;84.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E336M320061;19;0;JALMALV BESANCON;bnp;Y0123904;;1597.11
217001569;14760;01/12/2016;3 401.61;63;1;195.69;0;1.00;0.00;TRIMESTRE;NON;NON;0;E206R460583;19;0;COMMUNE DE CITEY;bnp;Y0132629;;3730.72
408789402;15641;01/01/2017;7 604.51;63;1;426.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W6903498;19;0;ASEP DE BESANCON;bnp;Y0168333;;8120.40
388538266;16448;01/04/2017;12 423.56;63;1;690.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2E6900694;19;0;EBERLE GRANDJACQUET;bnp;Y0193439;;13152.20
130020712;16732;17/01/2017;15 800.63;66;1;827.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2J6X01718;19;0;CHAMBRE DE METIERS ET DE L'ARTISANAT INTERDEPARTEM;bnp;Y0202671;;16516.11
538485525;18703;01/07/2017;2 317.99;39;1;206.70;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4311793;19;0;INGENIERIE CONSTRUCTION PILOTAGE;bnp;Z0048538;;2504.15
212506125;19670;01/07/2017;5 440.68;63;1;305.04;0;1.00;0.00;TRIMESTRE;NON;NON;0;C717R410089;19;0;COMMUNE DE VIEILLEY;bnp;Z0087414;;5704.80
315214445;20074;01/07/2017;8 059.68;63;1;449.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;VLW7435573;19;0;MOTOS MIELLIN;bnp;Z0100007;;8525.58
529046427;20720;01/10/2017;4 199.55;63;1;240.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W7520509;19;0;SOCIETE NOUVELLE S.P.I.C.;bnp;Z0124830;;4570.09
192512119;20870;01/09/2017;8 715.76;63;1;485.55;0;1.00;0.00;TRIMESTRE;NON;NON;0;W317602210;19;0;ADMI COLLEGE PAUL LANGEVI;bnp;Z0129822;;9111.48
316389196;21654;01/01/2018;45 468.15;63;1;2490.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;C717R310210;19;0;FIRAC;bnp;Z0161431;;46827.39
301711933;21757;01/01/2018;10 357.48;60;1;597.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2J7809023;19;0;SCP TOURNIER MAYER-BLONDEAU GIACOMONI DICHAMP;bnp;Z0165441;;10928.86
332505809;20857;01/01/2018;7 539.12;63;1;420.00;0;1.00;0.00;TRIMESTRE;NON;NON;32.31;C717R410022;19;0;FRANCHE COMTE NETTOYAGE;bnp;Z0167492;;8036.38
197007875;21890;13/11/2017;18 121.99;63;1;990.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;V937710111;19;0;ADMI COLLEGE MARIE CURIE;bnp;Z0174971;;18576.68
217003060;22189;01/12/2017;3 412.16;63;1;195.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W7829692;19;0;COMMUNE DE LOMONT;bnp;Z0180179;;3659.84
445134430;22220;01/01/2018;4 147.06;63;1;237.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W2W7930114;19;0;GCD INVESTISSEMENTS;bnp;Z0181669;;4535.21
803683077;22370;01/01/2018;3 097.19;63;1;177.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;W2W7930353;19;0;VADE MECA;bnp;Z0186477;;3387.28
