siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;numero contrat leaser;a garder vide;montant financement leaser
257705665;7457;01/07/2015;1740.9;63;1;104.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LBC5323009;18;0;COLL S.I. DES ECOLES DE PA. LU;Franfi;001308825-00;;1994.35
198908196;7721;01/07/2015;18069.27;63;1;987.30;0;1.00;0;TRIMESTRE;NON;NON;0.00;L8V5301087;18;0;COLL LYCEE VAUBAN;Franfi;001310862-00;;18925.93
439700410;8420;01/10/2015;1869.69;60;1;258.89;0;1.00;0;TRIMESTRE;NON;NON;0.00;V675300071;18;0;SARL G R DECOR;Franfi;001319932-00;;2095.27
218902351;8730;01/10/2015;13536.42;60;1;792.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L875635410;18;0;ADM COMMUNE DE MAGNY;Franfi;001332372-00;;14478.04
218902351;8730;01/10/2015;13536.42;60;1;792.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;396120390;18;0;ADM COMMUNE DE MAGNY;Franfi;001332372-00;;14478.04
443003207;6402;01/07/2015;10803.11;63;1;600.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L875129258;18;0;SARL AUXERRE ENCHERES ESTIMATI;Franfi;001295654-00;;11391.93
788339083;9660;01/01/2016;60531.23;60;1;3 370.98;0;1.00;0;TRIMESTRE;NON;NON;0.00;7562259475GFH;18;0;SAS BRIE ET CHAMPAGNE;Franfi;001344418-00;;61620.02
316263029;6120;01/10/2015;62617.28;63;1;3 507.00;0;0.97;0;TRIMESTRE;NON;NON;0.00;V1S5373589;18;0;SASU ST GOBAIN CRISTAUX DETECT;Franfi;001330867-00;;63748.69
316263029;6120;01/10/2015;62617.28;63;1;3 507.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD6252215;18;0;SASU ST GOBAIN CRISTAUX DETECT;Franfi;001330867-00;;63748.69
330728403;7997;01/10/2015;11995.41;63;1;666.22;0;1.00;0;TRIMESTRE;NON;NON;0.00;74634799067PD;18;0;SAS BIRO FRANCE;Franfi;001330256-00;;12637.01
428156657;9910;01/01/2016;6484.08;60;1;381.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;A33AC21160;18;0;SAS TREMPVER;Franfi;001352971-00;;6926.97
323077917;14846;01/01/2017;26151.58;48;1;1 857.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;G726M430049;18;0;SA CHRISLIGNE - CADAP;Franfi;001417847-00;;27633.44
400179982;8037;01/10/2015;6936.24;63;1;397.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E155M433436;18;0;SARL GAUTHIER;Franfi;001320494-00;;7550.6
492294665;6609;01/07/2015;4722.51;66;1;252.00;0;1.00;0;TRIMESTRE;NON;NON;29.72;E155M230090;18;0;SARL VAZ CONSTRUCTION;Franfi;001299779-00;;5186.05
309409464;7364;01/10/2015;5066.76;63;1;290.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Z26514;18;0;SAS MENUISERIE GAVET S.A.;Franfi;001313489-00;;5519.74
217703131;7764;01/10/2015;5081.2;63;1;285.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD4Z26690;18;0;ADM MAIRIE DE MONTMACHOUX;Franfi;001319057-00;;5459.91
501227680;8565;01/10/2015;5940.85;63;1;335.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD5637570;18;0;MME MAGALI DUBREUCQ;Franfi;001330242-00;;6354.76
217702786;8615;01/10/2015;4096.03;63;1;238.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD5637112;18;0;MAIR COMMUNE MAROLLES EN BRIE;Franfi;001330252-00;;4547.59
218903466;9006;01/10/2015;13955.47;63;1;769.50;0;1.00;0;TRIMESTRE;NON;NON;0.00;L8K5610451;18;0;ADM COM. DE ST GEORGES SUR BAU;Franfi;001331421-00;;14701.42
312409592;7942;01/10/2015;9728.76;63;1;545.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L8B5505781;18;0;ASSC SECOURS POPULAIRE FRANCAI;Franfi;001332925-00;;10337.83
247700396;9187;01/10/2015;2403.97;63;1;143.61;0;1.00;0;TRIMESTRE;NON;NON;0.00;V1404201612;18;0;ADM SIVOM DU BRASSON;Franfi;001333902-00;;2744.36
217702521;9188;01/10/2015;5906.45;63;1;336.39;0;1.00;0;TRIMESTRE;NON;NON;0.00;E155M632936;18;0;ADM MAIRIE DE LIMOGES FOURCHES;Franfi;001333922-00;;6427.24
412733040;8869;01/01/2016;2389.93;60;1;147.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;QAW0820192;18;0;SARL M.G.O.;Franfi;001336265-00;;2669.52
218904613;9421;01/01/2016;2518.97;60;1;150.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;G145P801636;18;0;ADM COMMUNE DE VILLENEUVE L AR;Franfi;001338558-00;;2742.72
821301629;20553;01/10/2017;3470.67;39;1;300.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;VLW7436485;18;0;SLRL B&B AVOCATS ASSOCIES;Franfi;001492610-00;;3692.86
200039642;16019;01/01/2017;9767.91;48;1;690.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;QAW0518047;18;0;ADM CC LE TONNERROIS EN BOURGO;Franfi;001430873-00;;10324.17
198910937;9997;01/12/2015;2593.62;63;1;50.00;0;1.00;0;MOIS;NON;NON;0.00;QAW0719008;18;0;ADM COLLEGE MONTPEZAT;Franfi;001344744-00;;2857.25
412001901;10083;01/01/2016;10803.11;63;1;600.00;0;1.00;0;TRIMESTRE;NON;NON;48.42;L875839840;18;0;SARL REMORQUES LOUAULT;Franfi;001347219-00;;11381.01
215800772;9619;01/01/2016;16581.34;63;1;906.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LHD5841671;18;0;ADM COMMUNE DE CIEZ;Franfi;001339140-00;;17309.12
402973283;9276;01/01/2016;5798.99;63;1;327.00;0;1.00;0;TRIMESTRE;NON;NON;32.26;E155M730543;18;0;ASSC S.O.S. INSERTION ET ALTER;Franfi;001337073-00;;6203.02
443104740;9769;01/01/2016;10533.03;63;1;585.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;V1S5792615;18;0;SARL PSR QUILT;Franfi;001344863-00;;11096.51
413730961;10719;01/01/2016;9585.95;63;1;537.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;G175R950005;18;0;SAS EUROSER;Franfi;001352569-00;;10186.09
792808545;22825;01/04/2018;6467.07;36;1;600.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;VLW7963127;18;0;SASU ALUMINIUM FRANCE EXTRUSIO;Franfi;001524766-00;;6847.74
198910432;9807;01/01/2016;21412.97;63;1;1 170.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L875839837;18;0;ADM COLLEGE JEAN BERTIN;Franfi;001344932-00;;22352.6
217702471;10146;01/01/2016;7077.99;63;1;397.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L875839835;18;0;ADM COMMUNE DE LESCHEROLLES;Franfi;001345235-00;;7585.14
423072339;9613;01/01/2016;4623.76;63;1;266.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LSN5809942;18;0;EURL TOUTES PIECES DE VOITURES;Franfi;001345314-00;;5046.03
415399450;9541;01/01/2016;37912.59;63;1;2 205.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;E155M930409;18;0;SA FRANCE GALVA;Franfi;001346046-00;;38881.48
750837718;9883;01/01/2016;11127.2;63;1;618.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;R4510976;18;0;SAS CREDIT FIRST;Franfi;001352429-00;;11722.42
512691643;10299;01/01/2016;1944.29;63;1;115.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;7526319442H35;18;0;SARL POMPES FUNEBRES KNIBBE;Franfi;001352437-00;;2182.01
309813699;10815;01/01/2016;8050.79;63;1;451.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L875X41905;18;0;SARL PLIAGE SERVICE;Franfi;001354751-00;;8554.93
802681098;11161;01/04/2016;3005.59;60;1;180.00;0;1.00;0;TRIMESTRE;NON;NON;25.58;LHD5943936;18;0;SAS GMP;Franfi;001355814-00;;3268.82
321131534;11159;15/02/2016;7093.54;63;1;400.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;LCA5916641;18;0;SYND ORDRE DES AVOCATS;Franfi;001358849-00;;7600.19
198900300;11186;01/03/2016;8994.97;63;1;170.00;0;1.00;0;MOIS;NON;NON;0.00;L7L5411061;18;0;COLL COLLEGE STEPHANE MALLARME;Franfi;001360962-00;;9739.33
341286847;10247;01/04/2016;20897.78;63;1;1 150.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L8B5907229;18;0;SCP LENDAIS & ASSOCIES SOCIETE;Franfi;001355449-00;;21843.68
352610646;19838;01/07/2017;16786.29;48;1;1 170.00;0;1.00;0;TRIMESTRE;NON;NON;162.86;50287120112FT;18;0;SASU ALUMINIUM FRANCE EXTRUSIO;Franfi;001475687-00;;17483.68
391006814;11168;01/04/2016;28144.19;63;1;1 572.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;L875Y43140;18;0;SCPA CAP VITAL SANTE;Franfi;001356654-00;;29816.96
342761095;24281;01/07/2018;4253.76;36;1;395.00;0;1.00;0;TRIMESTRE;NON;NON;0.00;52J144801977;18;0;SAS CONIMAST INTERNATIONAL;Franfi;001544311-00;;4508.42
