Société qui factire la location ;Site commercial;Ing Commercial financé;Client;SIRET client;Nom client;Avenant;Commentaire;Date effet;Fin validité;Période Fac;Nb loyers;Somme de Mt financé € HT ;Somme de Mt Loyer intercaoaire HT et /ou 49 € de frais de dossier;Somme de Loyer client € HT 
;;;BENAYO0660;45216764600010;SCM BENAYOUN LEMPEREUR;CTR-031261/0001;MATERIEL INFORMATIQUE ;24/10/2013;31/10/2018;Mensuelle;60;4197,53;61,94;85
;;;BONNET4465;434708137;SCP BONNET LABORIE;CTR-030267/0001;CONFIGURATION INFORMATIQUE;28/03/2013;31/03/2017;Mensuelle;48;12907;79,35;305
;;;CADIOT5844;43901848200042;SELARL CADIOT FEIDT;CTR-026815/0001;"FINANCEMENT EURALLIANCE_x000D_
ORDINATEUR PORTABLE HP";20/12/2011;31/12/2014;Mensuelle;36;2377,13;68,65;74
;;;CARPA3110;78182223400030;CARPA SUD OUEST;CTR-031052/0001;"SCANNER CANON DR6010C- NS FB415815_x000D_
";23/09/2013;30/09/2016;Mensuelle;36;3886,92;81,27;121
;;;FAMILI3211;489044651;FAMILIE DEM;CTR-031234/0001;MATERIEL INFORMATIQUE ;21/10/2013;31/10/2018;Mensuelle;60;8437,97;99,61;168
;;;FAUGER3499;388396921;SARL CHATEAU FAUGERES;CTR-029989/0001;MATERIEL INFORMATIQUE ;15/02/2013;28/02/2018;Mensuelle;60;4148,15;42;84
;;;;;;CTR-030642/0001;HP 7500E MT I3570 - NS - CZC3085MCW;10/06/2013;30/06/2017;Mensuelle;48;1602,95;67,3;39
;;;GEPAH20001;753242346;GEPAH 2;CTR-030806/0001;MATERIEL INFORMATIQUE;11/07/2013;30/07/2017;Mensuelle;48;7404,33;160,58;178
;;;LAPALU4999;331151753;SAS LAPALUS MASSIE;CTR-030513/0001;CONFIGURATION INFORMATIQUE;14/05/2013;31/05/2016;Mensuelle;36;7468,48;174,13;231
;;;;;;CTR-030613/0001;"HP DESIGNJET T790 44"" - NS CN326DH03Y";05/06/2013;30/06/2016;Mensuelle;36;6239,9;207,27;193
;;;LDIMM6520;429213986;LD IMMOBILIER;CTR-029596/0001;HP PRO 3500 - NS : CZC241BZ3J - CZC241BZ1Z - CZC241BZ2M - CZC241BZ3L;11/12/2012;31/12/2016;Mensuelle;48;6239,6;141,61;150
;;Total GIRAUD Yves;;;;;;;;;;73850,19;1246,68;1806
;;LARRIGNON Eric;ONYXA7500;464202373;VEOLIA PROPRETE AQUITAINE;CTR-028992/0001;CANON IR ADVANCE C5030I - NS : GNM90244;18/09/2012;30/09/2015;Trimestrielle;12;3276,18;81,2;291,58
;;;SIASO6847;302475041;PSA RETAIL FRANCE SAS;CTR-026874/0001;"FINANCEMENT EURALLIANCE_x000D_
3 COPIEURS IR 1730I - NS HGY02230 - HGY02231 - HGY02240";01/01/2012;31/12/2016;Trimestrielle;20;5403;40;320,78
;;;;;;CTR-026697/0001;"FINANCEMENT EURALLIANCE_x000D_
cOPIEUR IR ADVANCE C5045I - NS GPV59695";01/02/2012;31/01/2017;Trimestrielle;20;19162;40;1107,56
;;Total LARRIGNON Eric;;;;;;;;;;27841,18;161,2;1719,92
;;PILI Florian;OREFI1030;32095539600215;OREXAD - AQUIT OUTILLAGE ;CTR-027866/0001;"FINANCEMENT EURALLIANCE_x000D_
TASKALFA 250CI - NS QJK1X45561_x000D_
";02/04/2012;30/06/2017;Trimestrielle;20;3572;253,63;216
;;Total PILI Florian;;;;;;;;;;3572;253,63;216
;Total Capea Bordeaux;;;;;;;;;;;110840,84;1982,09;4052,92
;Capea Brive;BARBARO Xavier;RIEP9929;160012035;SEP-RIEP ;CTR-028656/0001;CANON IRA 4051I - NS : HRV00878;12/07/2012;31/12/2017;Trimestrielle;21;7295,82;408,66;464,16
;;Total BARBARO Xavier;;;;;;;;;;7295,82;408,66;464,16
;;TEULIERES David;ENTRAI0620;40496033800022;ASSOCIATION ENTRAIDE;CTR-029553/0001;MULTIFONCTION SHARP MX-3610NSF - NS : 25044938;05/12/2012;31/03/2018;Trimestrielle;21;13360,57;249,46;850
;;Total TEULIERES David;;;;;;;;;;13360,57;249,46;850
;Total Capea Brive;;;;;;;;;;;20656,39;658,12;1314,16
;Capea Cahors;DELMAS Jean-Luc;CENTRE7177;38342541000016;PHARMACIE DU CENTRE;CTR-030717/0001;COPIEUR SHARP AR-5620N - NS : 33029551;18/06/2013;30/09/2018;Trimestrielle;21;1800;17,45;122,16
;;;DUCHEM6694;33449008300055;DUCHEMIN MAURICE;CTR-027862/0001;MULTIFONCTION SHARP MX-231O - NS 15097399;12/04/2012;30/09/2017;Trimestrielle;21;5000;288,97;328,7
;;Total DELMAS Jean-Luc;;;;;;;;;;6800;306,42;450,86
;Total Capea Cahors;;;;;;;;;;;6800;306,42;450,86
;Capea Limoges;LACAZE Jean-François;DONZEL5544;19870071800010;COLLÈGE PIERRE DONZELOT;CTR-028845/0001;"COPIEUR SHARP MX-M453U - NS : 25016213_x000D_
COPIEUR SHARP AR-M207 - NS : 83048072_x000D_
COPIEUR CANON IR3300 - NS : SDF04369";30/08/2012;31/12/2017;Trimestrielle;21;7859,16;173,91;500
;;Total LACAZE Jean-François;;;;;;;;;;7859,16;173,91;500
;;MAURELET Christophe;2CUB9660;79409132200014;2 CUBE PEPINIERE D'ENTREPRISES;CTR-031817/0001;TASKALFA 3051 - NS L873Y07141;10/03/2014;30/06/2019;Trimestrielle;21;4783,56;123,56;305
;;;CEGE9523;317686145;GESTELIA LIMOUSIN;CTR-028017/0001;LEXMARK TS654DN - NS : 7954L0M;09/05/2012;30/09/2017;Trimestrielle;21;1547,08;61,15;105
;;;IME4121;38379245400027;INSTITUT MEDICO EDUCATIF;CTR-028676/0001;COPIEUR CANON ADVANCE C2020I - NS : FAK33822;25/07/2012;31/12/2017;Trimestrielle;21;3668,78;184,04;249
;;;MBUSSI6216;212303606;MAIRIE DE BUSSIERE-DUNOISE;CTR-024887/0001;IMPRIMANTE LEXMARK X544DN - NS 94F69KY;02/11/2011;31/12/2018;Trimestrielle;20;792;35,22;54
;;Total MAURELET Christophe;;;;;;;;;;10791,42;403,97;713
;;PLUYAUD Didier;CMB;532587664;CAPEA;CTR-029257/0017;Contrat Forfait Intégral - SELARL DE RADIOLOGIE;28/07/2015;30/09/2018;Trimestrielle;12;102143,95;6732,16;9528,6
;;;;532587664;;CTR-031928/0002;Contrat Forfait Intégral  IMRO;01/04/2014;30/06/2019;Trimestrielle;21;57500;0;3244,61
;;;;532587664;;CTR-031928/0003;Contrat Forfait Intégral  IMRO;01/07/2015;30/06/2019;Trimestrielle;16;4717,96;0;372,95
;;;;532587664;;CTR-031928/0004;Contrat Forfait Intégral  IMRO;01/01/2016;30/06/2019;Trimestrielle;14;1372,7;0;110,2
;;;;532587664;;CTR-031928/0005;Contrat Forfait Intégral  IMRO;01/04/2016;30/06/2019;Trimestrielle;13;6780;0;581,71
;;;ELRING6155;52483134400014;ELRINGKLINGER MEILLOR SAS;CTR-028872/0001;"COPIEUR IR1024IF - NS : DRQ49875_x000D_
COPIEUR CANON ADVANCE C2020I - NS : FAK34048_x000D_
PHOTOCOPIEUR CANON IRA2520I - NS : FWQ21258";01/10/2012;31/12/2017;Trimestrielle;21;8606,36;0;554
;;Total PLUYAUD Didier;;;;;;;;;;181120,97;6732,16;14392,07
;;TOURNADRE Laurent;CERLAS2455;41977218100014;CERLASE;CTR-023097/0001;"TRACEUR HP Designjet 510_x000D_
";10/01/2011;31/03/2015;Trimestrielle;16;3059;229,5;255
;;;COLLE0941;19870120300012;COLLEGE LOUIS JOUVET;CTR-026863/0001;"DUPLICATEUR_x000D_
";05/01/2012;30/06/2017;Trimestrielle;21;3933;255,26;267
;;;KOSMOD4159;35021778200126;KOSMOD;CTR-027124/0001;MULTIFONCTION SHARP MX-2310U - NS 15082237;13/02/2012;12/05/2017;Trimestrielle;21;4700,33;0;309
;;Total TOURNADRE Laurent;;;;;;;;;;11692,33;484,76;831
;Total Capea Limoges;;;;;;;;;;;211463,88;7794,8;16436,07
Total AceCom;;;;;;;;;;;;640826,79;12555,21;41382,16
CAPEA FINANCE;Capea Avignon;DECHENAUX Marie;ACS4684;75131647200016;SAS ANALYSE CONCEPTION ET STRUCTURE;CTR-030873/0001;MULTIFONCTION SHARP MX-2314NSF - NS : 35116013;24/07/2013;30/09/2018;Trimestrielle;20;3333,8;175,5;234
;;;ASAD9944;38797863800014;ASAD CONCESSION HONDA;CTR-031569/0001;MULTIFONCTION SHARP MX-2314NSF - NS 35064247;06/01/2014;30/06/2019;Trimestrielle;21;4234,63;255;270
;;;BOIRON7233;429085848;EARL BOIRON MAURICE ET NICOLAS;CTR-032539/0001;"CANON IR C5030i - NS GNM70013_x000D_
";01/07/2014;30/09/2019;Trimestrielle;21;4469,89;0;285
;;;CALEND9447;39177827100026;CALANDRETA D'AURENJA;CTR-033713/0001;"SHARP MX-2010USF - NS 150739620_x000D_
";01/04/2015;30/06/2020;Trimestrielle;21;1897,02;49;124,9
;;;CHOC3927;50477238500028;CHOC VIANDES SARL VERT ET ROUGE;CTR-039359/0001;"Scanner CANON DR-M260 NS HG402490 + Zeendoc 1,5Go
";05/04/2018;30/06/2021;Trimestrielle;12;5137,2;485,4;507,72
;;;;;;CTR-038233/0001;"SHARP MX-3060NEU NS 75041177 + Accessoires
";01/01/2018;31/03/2023;Trimestrielle;21;13620,81;0;850,45
;;;CLIMLA5902;44499576500021;CLIMLAB BRUNO LAVRANGE;CTR-039132/0001;"SHARP MX-3060NEU NS 75065000 + Accessoires
";13/02/2018;30/06/2023;Trimestrielle;21;10551,08;340,02;651,11
;;;CMB;50209280200011;CAPEA;CTR-017552/0006;Contrat Forfait Intégral - ACADEMIE DES ARTS D'AVIGNON;01/07/2015;30/09/2020;Trimestrielle;21;1828,42;0;121,8
;;;;34815933600018;;CTR-020873/0005;Contrat Forfait Intégral - DOMAINE MATHIEU;08/07/2016;31/12/2021;Trimestrielle;21;1428;88,78;96,09
;;;;75074668700011;;CTR-026760/0004;Contrat Forfait Intégral - VINCENT BRUNET LUBRIFIANTS;01/04/2016;30/06/2021;Trimestrielle;21;1526,89;0;100,53
;;;;817780307;;CTR-039418/0004;Contrat Forfait Intégral - NEWRHONE MILLESIMES;11/04/2018;30/06/2021;Trimestrielle;12;1763;159,91;179,65
;;;;39880945900017;;CTR-020324/0005;Contrat Forfait Intégral - PROVENCE GOUDRONNAGE;09/11/2016;31/03/2022;Trimestrielle;21;5899,79;216,71;376,17
;;;;811759059;;CTR-023383/0005;Contrat Forfait Intégral - TABAC LE PROVENCAL;01/04/2016;30/06/2021;Trimestrielle;21;1746;0;114,96
;;;;41466689100018;;CTR-038340/0004;Contrat Forfait Intégral - LUMAFRAIS;19/01/2018;30/06/2023;Trimestrielle;21;7615,61;375,97;469,96
;;;;50321504800011;;CTR-019225/0006;Contrat Forfait Intégral - MAITRE PHILIPPE PANAYE;01/04/2017;30/06/2022;Trimestrielle;21;26722,4;0;1595,33
;;;;21840104000017;;CTR-033534/0011;Contrat Forfait Intégral - MAIRIE DE SABLET;03/02/2018;30/06/2023;Trimestrielle;21;31002,86;1130,59;1785,14
;;;;51341299900023;;CTR-031254/0006;Contrat Forfait Intégral - DR JEROME PAPA;01/04/2017;30/06/2022;Trimestrielle;21;5235,83;0;333,84
;;;;821682887;;CTR-037633/0004;Contrat Forfait Intégral - SCM AVOCATS;11/07/2017;31/12/2022;Trimestrielle;21;1868;102,74;115,27
;;;;48254690000010;;CTR-023699/0003;Contrat Forfait Intégral -  HCPL;01/04/2017;30/06/2022;Trimestrielle;21;7236,67;0;461,41
;;;;399173392;;CTR-031252/0006;Contrat Forfait Intégral - DR DUCHE RENAUD;03/08/2017;31/12/2022;Trimestrielle;21;3788,68;159,97;249,45
;;;;422811851;;CTR-020580/0009;"Contrat Forfait Intégral - DR RIGOUT
";16/06/2017;30/09/2022;Trimestrielle;21;2699,88;29,3;177,76
;;;;430176529;;CTR-031255/0008;Contrat Forfait Intégral - DR ABIHAIDAR;13/10/2017;31/12/2021;Trimestrielle;16;5915,26;406,61;467,6
;;;;519447221;;CTR-018146/0007;Contrat Forfait Intégral - EURL ENTREPRISE RIEU ;01/10/2017;31/12/2022;Trimestrielle;21;11767,2;0;726,15
;;;;783246911;;CTR-029804/0007;Contrat Forfait Intégral - CAVE DES VIGNERONS DE RASTEAU;27/09/2017;31/12/2022;Trimestrielle;21;5093,55;14,12;324,76
;;;;387472954;;CTR-038362/0002;Contrat Forfait Intégral - FERT MATERIEL;25/10/2017;31/03/2023;Trimestrielle;21;6565,48;309,41;418,62
;;;;43938832300032;;CTR-021014/0006;Contrat Forfait Intégral - BIOBEST;14/11/2017;31/03/2023;Trimestrielle;21;4898,6;162,95;312,33
;;;;30435097800017;;CTR-030938/0005;Contrat Forfait Intégral - CAVES JAMET;09/04/2018;30/09/2023;Trimestrielle;21;5405,4;314,35;344,65
;;;;783246911;;CTR-029804/0011;Contrat Forfait Intégral - CAVE DES VIGNERONS DE RASTEAU;01/04/2018;30/06/2023;Trimestrielle;21;16570,75;0;989,27
;;;CRISCO8888;44115204800027;CRISCO SARL;CTR-034282/0001;MULTIFONCTION SHARP MX-2600N - NS 850653260;09/07/2015;31/12/2020;Trimestrielle;21;2309,18;179,11;142,5
;;;DOMAIN7091;33145797800012;DOMAINE PONTIFICAL;CTR-033432/0001;"LEXMARK XC 2132 - NS 7527359465WD8_x000D_
";14/01/2015;30/06/2020;Trimestrielle;21;1114,57;113,17;75
;;;ENTREC0011;218400448;MAIRIE D'ENTRECHAUX;CTR-030258/0001;IR ADVANCE C2225I - NS : LYE04171;01/04/2013;30/06/2018;Trimestrielle;21;5567,38;0;366
;;;EYDOU1813;70722056200011;ETS EYDOUX;CTR-032526/0001;"CANON IR3080i - NS DBN06645_x000D_
";10/09/2014;31/12/2019;Trimestrielle;21;2506,08;86,66;165
;;;GERIN3200;70542007300011;CHARLES GERIN ET FILS;CTR-033761/0001;"CANON IRC2380 - NS DCF45186 _x000D_
Lexmark XM3150 - NS 701645HH049X6_x000D_
";01/04/2015;30/06/2020;Trimestrielle;21;5316,81;0;339
;;;;;;CTR-032157/0001;"LBP6780 - NS MXDA011678_x000D_
";03/06/2014;30/09/2019;Trimestrielle;21;534,99;60,08;36
;;;IOC0916;501241723;INSTITUT OENOLOGIQUE DE CHAMPAGNE;CTR-032092/0001;COPIEUR IR ADVANCE C2225I - NS LYE18725;01/04/2014;30/06/2019;Trimestrielle;21;5332,49;0;340
;;;;;;CTR-032092/0002; ;01/04/2014;30/06/2019;Trimestrielle;21;663,11;0;42,28
;;;LAFORE9560;43954614400031;COSMOS IMMOBILIER;CTR-035502/0001;"MULTIFONCTION SHARP MX-2314NSF - NS 5503657600_x000D_
";09/03/2016;30/06/2021;Trimestrielle;21;6579,36;155,03;419,5
;;;LATOUR5424;44016332700024;AGENCE IMMOBILIERE DE LA TOUR;CTR-032354/0001;MULTIFONCTION SHARP MX-2314NSF - NS 35063317;15/07/2014;31/12/2019;Trimestrielle;21;5223;331,33;333
;;;MAICAI8212;218400281;MAIRIE DE CAIRANNE;CTR-031046/0001;CANON IR C1028I - NS HFT15424;16/09/2013;31/12/2018;Trimestrielle;21;1070;109,75;72
;;;MAIRIE3202;212603575;MAIRIE DE TULETTE;CTR-031019/0001; ;30/08/2013;30/08/2018;Trimestrielle;20;5744,08;0;391
;;;MEDECI0156;783229859;GMSI 84;CTR-030874/0001;"COPIEUR CANON IRA C2220I - NS : LYK06493_x000D_
SHARP MX-2301N - NS : 95008889";24/07/2013;31/12/2018;Trimestrielle;21;11270,04;537,75;717
;;;MEDIA8814;47773426300015;MEDIA PC VAISON;CTR-033850/0001;"MX-3140NSF - NS 4800349800_x000D_
";01/07/2015;30/09/2020;Trimestrielle;21;4900,18;49;318
;;;MERCIE0428;40138886300011;TERRASSEMENTS ET TP MERCIER;CTR-033066/0001;"Lexmark XC2132 - NS 7527379465YFF_x000D_
";01/11/2014;31/03/2020;Trimestrielle;21;1025,41;94,75;69
;;;MILEST8320;499875847;MILESTAR;CTR-035513/0001;"MULTIFONCTION SHARP MX-2314NSF - NS 55036326_x000D_
";01/04/2016;30/06/2021;Trimestrielle;21;6579,36;49;419,5
;;;NGUYEN6684;810608836;SCM CHIRURGICALE DE VAUCLUSE;CTR-032458/0001;"LEXMARK XM1145 - NS 701532HH064MX_x000D_
";26/08/2014;31/12/2019;Trimestrielle;21;1594,78;90,09;105
;;;NOXCOM4162;75348211600013;NOXCOM;CTR-030877/0001;MULTIFONCTION SHARP MX-2640 - NS : 35087862;29/07/2013;31/12/2018;Trimestrielle;21;4517,79;206,61;297
;;;ODF2236;453316838;ODF;CTR-033721/0001;"MX-3140NSF - NS 48002879_x000D_
";12/03/2015;30/06/2020;Trimestrielle;21;5865,74;132,11;374
;;;ODG4520;42882836200023;ODG VIN DE PAYS DE VAUCLUSE;CTR-037892/0001;"ZEENDOC Flux BRONZE 3 Go
";19/09/2017;30/09/2020;Trimestrielle;12;6886,57;86,87;666
;;;;;;CTR-037891/0001;"Lexmark XC4150 NS 75287150112G5 + Accessoires
";01/10/2017;31/12/2022;Trimestrielle;21;8263,65;0;493,34
;;;OFFICE3453;38214786600026;OFFICE DE TOURISME DE TULETTE;CTR-030813/0001;MULTIFONCTION SHARP MX-2314NSF - NS 351159030;03/07/2013;31/12/2018;Trimestrielle;21;3005,75;199,57;204
;;;ORTAS9010;49881694100013;ORTAS;CTR-031218/0001;COPIEUR CANON IR C2220I - NS LYK02252;01/10/2013;31/12/2018;Trimestrielle;21;4533;0;298
;;;PRESID8034;325509032;DOMAINE DE LA PRESIDENTE;CTR-035695/0001;"CANON IR C3325I - NS QTS02410_x000D_
";01/07/2016;30/09/2021;Trimestrielle;21;5347,83;0;345
;;;RIEU1678;519447221;EURL ENTREPRISE RIEU ;CTR-037534/0001;"Solution ZEENDOC 1,5Go
";22/06/2017;30/06/2020;Trimestrielle;12;3970;40,05;405
;;;SCPCEZ0325;33470892200029;SCP CEZANNE;CTR-032416/0001;"SHARP MX3140 - NS 3800497Y_x000D_
CANON 3035 - NS MUQ01529";01/07/2014;30/09/2019;Trimestrielle;21;22763,81;49;1359
;;;TEYSSO3131;339294621;DOMAINE LES TEYSONNIERES;CTR-035183/0001;"LEXMARK XC2132 - NS 752730946994N_x000D_
";23/12/2015;31/03/2021;Trimestrielle;21;1595;59,27;105
;;;UDAPEL0333;484028964;APEL VAUCLUSE;CTR-034040/0001;"SHARP MX-2314NSF - NS 4506713X_x000D_
";01/07/2015;30/09/2020;Trimestrielle;21;4663,97;0;300
;;;YILMAZ2347;38070804000023;YILMAZ CONSTRUCTIONS;CTR-031675/0001;MULTIFONCTION SHARP MX-2314NSF - NS 35119853;05/12/2013;31/03/2019;Trimestrielle;21;3999,37;123,84;255
;;;CARI6030;38377525100010;ETS CARI;CTR-039399/0001;"ZEENDOC Flux Bronze 1,5Go
";27/03/2018;31/03/2021;Trimestrielle;12;4670,04;25,64;461,54
;;;CHARD4746;79775700200010;GROUPE CHARD-HUTCHINSON;CTR-039516/0001;"
";16/05/2018;30/06/2021;Trimestrielle;12;10724;529,21;1046,91
;;;GAN0961;83804859300019;GAN ASSURANCES;CTR-039713/0001;"CANON IR C3525i NS WSH20190 + Accessoires
";01/07/2018;30/09/2023;Trimestrielle;21;5148,22;49;328,25
;;;SYLVAN1356;827497918;LA MAISON DE SYLVANIE;CTR-037393/0001;MULTIFONCTION SHARP MX-3111USF - NS 25042647;16/05/2017;30/09/2022;Trimestrielle;21;2278,3;75,82;150
;;;CONFI1093;81764064200028;CONFIEZ NOUS;CTR-037760/0001;"Lexmark XC4140 NS 75287190115NK
";01/08/2017;31/12/2022;Trimestrielle;21;1486;66,3;99,99
;;;SALIGN6101;30664348700011;ETABLISSEMENTS SALIGNON;CTR-039128/0001;"CANON IR C355i NS WKB04450 + Accessoires
";06/02/2018;30/06/2023;Trimestrielle;21;11680,53;432,49;720,81
;;;FRALVA1474;37818266100058;FRANCE ALZHEIMER VAUCLUSE;CTR-039221/0001;"SHARP MX-5140NSF NS 3500904Y + Accessoires
";16/02/2018;30/06/2023;Trimestrielle;21;6762,65;210,8;431,19
;;;FO8394;000000000;FORCE OUVRIERE;CTR-039215/0001;"SHARP MX-2630NEU NS 7514301700  + Accessoires
";01/03/2018;30/06/2023;Trimestrielle;21;3935,85;89,26;259,14
